,sdev,lookback,filter,result
419,6,40,2,101.83378587984338
420,6,50,0,175.01228248704118
421,6,50,1,109.08087968365709
422,6,50,2,112.41773059248077
423,6,60,0,167.89819890876655
424,6,60,1,104.26915084408625
425,6,60,2,112.14894572040262
426,6,70,0,195.92039631505662
427,6,70,1,114.9338335763508
428,6,70,2,116.72360163001825
429,6,80,0,248.4591216711351
430,6,80,1,109.33997069044155
431,6,80,2,113.8717465939243
432,6,90,0,273.13787028588007
433,6,90,1,112.25655113901598
434,6,90,2,112.0228302271113
435,6,100,0,200.3889466396204
436,6,100,1,82.1943738010747
437,6,100,2,84.254163963747
438,6,110,0,278.47294217063154
439,6,110,1,113.57736907050446
440,6,110,2,116.01130225789382
441,6,120,0,398.9394425208433
442,6,120,1,121.9242321897607
443,6,120,2,119.24409766133815
444,6,130,0,414.67635355939933
445,6,130,1,125.39817393306953
446,6,130,2,122.0919402893257
447,6,140,0,386.8172726363018
448,6,140,1,114.53508808767606
449,6,140,2,117.14582231872986
450,6,150,0,493.83179538384763
451,6,150,1,115.5616696722267
452,6,150,2,113.32113081360451
453,6,160,0,497.68598807642076
454,6,160,1,117.8968351016602
455,6,160,2,113.3722944389655
456,6,170,0,495.20282060057446
457,6,170,1,116.4738936293439
458,6,170,2,114.82157107265496
459,6,180,0,497.7746545926447
460,6,180,1,120.37624817358147
461,6,180,2,113.37189366281713
462,6,190,0,628.2487282274385
463,6,190,1,118.33120398661785
464,6,190,2,110.06198782268142
465,6,200,0,611.8748924601332
466,6,200,1,116.50259674863403
467,6,200,2,114.55499850533973
468,6,210,0,636.4007758727533
469,6,210,1,115.73589445703672
470,6,210,2,119.13068607290246
471,6,220,0,628.7751989422078
472,6,220,1,116.16833264143894
473,6,220,2,127.5811332491015
474,6,230,0,663.8136620572161
475,6,230,1,120.67441893342681
476,6,230,2,128.39032004669315
477,6,240,0,702.3300160288608
478,6,240,1,118.98585542815474
479,6,240,2,134.53529254743538
480,6,250,0,715.9861059597528
481,6,250,1,120.7200194640655
482,6,250,2,137.6663148354767
483,6,260,0,733.9705873154792
484,6,260,1,127.02774931546905
485,6,260,2,143.98389640531954
486,6,270,0,879.8960969129032
487,6,270,1,125.02139407138262
488,6,270,2,150.71319357401552
489,6,280,0,850.4427348898774
490,6,280,1,123.04607884151291
491,6,280,2,142.7666862119315
492,6,290,0,844.4411264733184
493,6,290,1,120.98857314088845
494,6,290,2,145.43010683584856
495,6,300,0,836.1936768620009
496,6,300,1,119.85941593023269
497,6,300,2,144.78095877007058
498,6,310,0,843.987203838586
499,6,310,1,121.25852669866902
500,6,310,2,147.0088892982694
501,6,320,0,768.0031782469673
502,6,320,1,112.32983134489763
503,6,320,2,146.35559471917026
504,6,330,0,733.328483191687
505,6,330,1,109.03644248386244
506,6,330,2,145.06423859787017
507,6,340,0,753.2531706059069
508,6,340,1,112.19706187430147
509,6,340,2,146.78452167056258
510,6,350,0,775.96485029265
511,6,350,1,112.87539189380263
512,6,350,2,141.45534931639423
513,6,360,0,714.3023446287483
514,6,360,1,107.54131528894834
515,6,360,2,133.33145385342416
516,6,370,0,696.4985145014967
517,6,370,1,104.39563268766258
518,6,370,2,133.08478387040017
519,6,380,0,719.5308143932041
520,6,380,1,108.05228526838597
521,6,380,2,132.77815399112336
522,6,390,0,711.1872635448118
523,6,390,1,108.0288108300872
524,6,390,2,129.82998004945432
525,6,400,0,817.8208637894822
526,6,400,1,123.82919813639433
527,6,400,2,132.94238962628216
528,6,410,0,785.0768854067876
529,6,410,1,122.80856097560633
530,6,410,2,135.97033373266794
531,6,420,0,912.5555457361829
532,6,420,1,119.5893564242195
533,6,420,2,132.3532404682124
534,6,430,0,941.4200952762206
535,6,430,1,121.07261217615948
536,6,430,2,136.6740570352222
537,6,440,0,914.704037483423
538,6,440,1,116.03007885070433
539,6,440,2,135.94175878273703
540,6,450,0,882.938206489532
541,6,450,1,111.4217116370292
542,6,450,2,135.19115320208275
543,6,460,0,694.0423006264891
544,6,460,1,106.07331660507258
545,6,460,2,134.464057033133
546,6,470,0,671.7682488914178
547,6,470,1,100.80919813439758
548,6,470,2,134.0869587200409
549,6,480,0,640.7744438876814
550,6,480,1,95.22212609042889
551,6,480,2,130.77021060234443
552,7,30,0,99.94725944117756
553,7,30,1,99.9734636480529
554,7,30,2,99.9734636480529
555,7,40,0,100.0
556,7,40,1,100.0
557,7,40,2,100.0
558,7,50,0,100.0
559,7,50,1,100.0
560,7,50,2,100.0
561,7,60,0,152.12216244209273
562,7,60,1,103.01220108144445
563,7,60,2,108.04549079064523
